Date,Timestamp,Channel,User,Message
2015-07-30,2015-07-30 12:55:00,malware,@kaspersky,Writing Advanced OS X Malware an ‘Elegant’ Solution to Improving Detection: https://kas.pr/PEG5&nbsp; via @Threatpost pic.twitter.com/jcQQ74Re0U
2015-07-30,2015-07-30 12:26:00,malware,@malware_traffic,2017-07-30 - BizCN gate actor Nuclear EK from 46.101.18.39 - pcap/malware/more info at http://www.malware-traffic-analysis.net/2015/07/30/index.html&nbsp;… pic.twitter.com/oaCoqWjugH
2015-07-30,2015-07-30 12:07:00,malware,@IDSninja,How real people do malware analysis: pic.twitter.com/iwA4NODJvG
2015-07-30,2015-07-30 12:03:00,malware,@coindesk,Kaspersky Data Shows Bitcoin Malware Attacks Declining in 2015 http://coinde.sk/1IsWwZw&nbsp; pic.twitter.com/iggzcFXO6U
2015-07-30,2015-07-30 11:55:00,malware,@bitcoinpoet,Kapersky Data Shows Bitcoin Malware Attacks Declining in 2015: A new report from Kapersky Lab shows that devel... http://btcs.me/1h8ocgC&nbsp;
2015-07-30,2015-07-30 11:44:00,malware,@Securelist,"Our Q2 Threat Report is out now. Highlights: Duqu 2.0, Simda, Naikon #klReport  https://kas.pr/3yjx&nbsp; pic.twitter.com/1OQ6rRA5SF"
2015-07-30,2015-07-30 11:08:00,malware,@Techworm_in,"Darkode, a hack and malware marketing forum resurrected with invite only membership&#10;http://www.techworm.net/2015/07/darkode-returns-with-a-bang.html&nbsp;… pic.twitter.com/6eogaC9w9U"
2015-07-30,2015-07-30 09:16:00,malware,@thegrugq,All malware testing suites are basically a variation of this pic.twitter.com/XoTBLJWbsH
2015-07-30,2015-07-30 09:16:00,malware,@IBMSecurity,Video: The Evolving #Malware Ecosystem http://bit.ly/1IkWDuz&nbsp; #CyberSecurity
2015-07-30,2015-07-30 09:00:00,malware,@CiscoSecurity,21st century #malware found in Jane Austen&#39;s 19th century prose http://cs.co/9006BEADp&nbsp; #CiscoMSR @TheRegister pic.twitter.com/xdrFtktua8
2015-07-30,2015-07-30 08:38:00,malware,@davewiner,"Hammertoss: Russian hackers target the cloud, Twitter, GitHub in malware spread. http://www.zdnet.com/article/hammertoss-russian-hackers-target-the-cloud-twitter-github-in-malware-spread/&nbsp;…"
2015-07-30,2015-07-30 08:20:00,malware,@da_667,"if you appreciate the snort sigs I make or the malware infoz, I like challenge coins. just sayin’. GIEF COINS PLS."
2015-07-30,2015-07-30 08:20:00,malware,@Cyb3rOps,Official Potao #Yara Rules by @ESET&#10;https://github.com/eset/malware-ioc/blob/master/potao/PotaoNew.yara&nbsp;…
2015-07-30,2015-07-30 08:13:00,malware,@4v4t4r,Examining #Malware with #Python &gt; http://bit.ly/1MNyNay&nbsp; | Slides: http://bit.ly/1CUuNVO&nbsp; by @mrphilroth
2015-07-30,2015-07-30 08:00:00,malware,@KasperskyLabB2B,It&#39;s necessary to make education a core component of any #businesssecurity strategy https://securelist.com/analysis/quarterly-malware-reports/71610/it-threat-evolution-q2-2015/&nbsp;… #KLReport pic.twitter.com/LNe85Id0Oa
2015-07-30,2015-07-30 07:49:00,malware,@sehque,Most #malvertising attacks are hosted on news and entertainment websites #malware&#10;&#10; http://buff.ly/1KCCLCF&nbsp;
2015-07-30,2015-07-30 08:52:00,malware,@kaspersky,Q2 #IT #malware #Report is up now on @Securelist  https://kas.pr/1NDi&nbsp; pic.twitter.com/TZD9LpWjrK
Date,Timestamp,Channel,User,Message
2015-07-30,2015-07-30 13:26:00,0day,@djmanilaice,@HaifeiLi They have 0day against SSLd VPNs on Windows10????  That&#39;s badass!
2015-07-30,2015-07-30 12:40:00,0day,@DJSundog,I really want to find a new win95 0day so I can call it Oboe Losesock
2015-07-30,2015-07-30 12:34:00,0day,@f0zziehakz,0day for iTunes and AppStore disclosed.
2015-07-30,2015-07-30 11:39:00,0day,@4Dgifts,@HaifeiLi WAIT WHAT!? F5 is selling 0day for Windows 10 SSL VPNs? Call Chris Yog Soggoth on those #cybermerchantsofdeth!!!
2015-07-30,2015-07-30 11:36:00,0day,@HaifeiLi,"That&#39;s why I say our industry has been fully filled by marketing. Previsly we got 0day malware &amp; 0day CVE, now this.. pic.twitter.com/RoONTWIOpE"
2015-07-30,2015-07-30 10:42:00,0day,@SofonM,"наличие программы раннего сообщение о грядущий 0day уязвимостях в продуктах компании, до того как они были исправлены. Участие компании в"
2015-07-30,2015-07-30 10:08:00,0day,@TakeSecBack,#HackingTeam: a zero-day market case study http://buff.ly/1eCWvuy&nbsp;
2015-07-30,2015-07-30 10:02:00,0day,@projectMBO,Hacking Team: a zero-day market case study https://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;…
2015-07-30,2015-07-30 09:58:00,0day,@ZIMPERIUM,[Stagefright Update] Russian 0day Hunter Has #Stagefright Bugs. Turns out the hunter&#39;s bugs got patched by @jduck http://www.forbes.com/sites/thomasbrewster/2015/07/30/stagefright-vulnerabilties-ready-for-testing/&nbsp;…
2015-07-30,2015-07-30 09:47:00,0day,@Securityartwork,"Esto es un 0day de Android, otro de Flash y otro de IE que deciden irse juntos a Camboya. ¿Como se llama la película?&#10;&#10;Apocalypse Now"
2015-07-30,2015-07-30 09:34:00,0day,@the_adept,"@egyp7 @iagox86 @McGrewSecurity Yeah I thought you meant PRESENTING on a 0day, not trying to take out other users."
2015-07-30,2015-07-30 09:29:00,0day,@egyp7,@the_adept @iagox86 @McGrewSecurity I think you may have a different idea of what using 0day means.
2015-07-30,2015-07-30 09:24:00,0day,@the_adept,@iagox86 @egyp7 @McGrewSecurity Why send 0day packets cleartext@DC? Just VPN to targets or run attacks against local VM.
2015-07-30,2015-07-30 09:23:00,0day,@sa_zh,Hacking Team: a zero-day market case study - https://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;…
2015-07-30,2015-07-30 09:16:00,0day,@CJAMcMahon,@sarahjeong 0day screengrab
2015-07-30,2015-07-30 08:57:00,0day,@bitleechers,…http://BuckeyeBound.E058.Nyxon.Doublecrossed-Part.1.XXX.HR&nbsp;.MP4-hUSHhUSH: Category: XXX-0DAY  Size: 61.51 MB Added: 20... http://bit.ly/1fLnpBg&nbsp;
2015-07-30,2015-07-30 08:57:00,0day,@bitleechers,…http://BuckeyeBound.E057.Ludella.Hahns.Leather.Strap.Frogtie-Part.1.XXX.HR&nbsp;.MP4-hUSHhUSH: Category: XXX-0DAY  Size: 57... http://bit.ly/1fLnp4h&nbsp;
2015-07-30,2015-07-30 08:48:00,0day,@kelestinahakan1,на очереди наверное все понятия с 0day сцены %)
2015-07-30,2015-07-30 08:32:00,0day,@Icifra,Хакеры из Black Vine делят 0day-уязвимостями с конкурентами http://bit.ly/1gqa0Q4&nbsp; #шифры
2015-07-30,2015-07-30 08:01:00,0day,@NiskaaSolutions,Dangerous Apple 0-Day Exposes App Credentials #Niskaa #infosec http://goo.gl/Y4Q7m6&nbsp;
2015-07-29,2015-07-29 19:34:00,0day,@McGrewSecurity,"You get one shot at using an 0day at BH/DC, then you can guarantee it&#39;s in a dozen different folks&#39; pcaps"
2015-07-29,2015-07-29 10:28:00,0day,@ZIMPERIUM,[STAGEFRIGHT UPDATE] - We are aware of 0day exploit sales firms marketing exploits for Stagefright. Updates soon at: http://blog.zimperium.com/experts-found-a-unicorn-in-the-heart-of-android/&nbsp;…
2015-07-28,2015-07-28 20:53:00,0day,@SwiftOnSecurity,A stranger running from police hands you an envelope labeled &quot;IE 0day.&quot; You hear shots fired moments later.&#10;&#10;What do you do.
2015-07-28,2015-07-28 06:11:00,0day,@legerov,"i&#39;ve just released vulndisco 10.22 with two Android libstagefright overflows, as far as I can see these bugs are still 0day"
2015-07-27,2015-07-27 01:47:00,0day,@thegrugq,What is best for 0day? To crush the bugs. See them patched before you. To hear the lamentations of the hackers.
2015-07-27,2015-07-27 00:56:00,0day,@thegrugq,The 0day paradox states that you only need (on average) 3 infosec pros in the same room to have 2 tell the other 1 what to do with his 0day
2015-07-23,2015-07-23 07:41:00,0day,@x42___,local linux privilege escalation 0day (still) http://lcamtuf.coredump.cx/soft/ld-expl&nbsp;
2015-07-23,2015-07-23 06:21:00,0day,@matthew_d_green,"Hacking Team: A 0-day market case study, by @vlad902. Fascinating read. http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;… h/t @tqbf"
2015-07-23,2015-07-23 05:18:00,0day,@spun_off,"Adobe security, from “Hacking Team: a 0-day market case study”&#10;http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;… pic.twitter.com/Pi9JrdgXKd"
2015-07-23,2015-07-23 02:04:00,0day,@YourAnonNews,Just curious @eugeii do you still do business with @hackingteam? http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;… pic.twitter.com/SZ3Zm3eIFG
2015-07-23,2015-07-23 01:56:00,0day,@YourAnonNews,Hey @netraguard are you still selling 0days to @hackingteam? http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;…
2015-07-23,2015-07-23 00:56:00,0day,@Viss,"So this reads REALLY interestingly.&#10;&#10;http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;…&#10;&#10;tl;dr: if you sell 0day to shady orgs, you may end up on wikileaks."
2015-07-23,2015-07-23 00:49:00,0day,@_ikki,"If you&#39;re interested in the vulnerability market (both sides), you should read http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;… Remarkable investigative journalism"
2015-07-23,2015-07-23 00:24:00,0day,@qwertyoruiop,"https://ghostbin.com/paste/nv9y2&nbsp; - zalloc() timing info leak + heap-feng-shui + 0day, looks very reliable. bug confirmed on elcap &amp; ios9"
2015-07-22,2015-07-22 21:12:00,0day,@tqbf,"I did not know @vlad902 has a blog, but he does, and it rules: http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;…"
2015-07-21,2015-07-21 20:06:00,0day,@yamatosecurity,2007年からあるOpenSSHの(0day)脆弱性で一つのセッションでパスワードを６回しか試せないはずなのに、一つのセッションで（デフォルトで２分間）無制限でパスワードの総当たり攻撃が可能。PoCもあり。https://kingcope.wordpress.com/2015/07/16/openssh-keyboard-interactive-authentication-brute-force-vulnerability-maxauthtries-bypass/&nbsp;…
2015-07-30,2015-07-30 13:29:00,malware,@GIJoeMcD,Writing Advanced OS X Malware an &#39;Elegant&#39; Solution to Improving Detection - Threatpost http://tinyurl.com/p53dbgo&nbsp;
2015-07-30,2015-07-30 13:29:00,malware,@EnEfectivoBlog,#Bitcoin Kaspersky Data Shows Bitcoin Malware Attacks Declining in 2015 http://bit.ly/1gqO7jA&nbsp;
2015-07-30,2015-07-30 13:29:00,malware,@alexvallenilla,#Bitcoin Kaspersky Data Shows Bitcoin Malware Attacks Declining in 2015 http://bit.ly/1gqO7jA&nbsp;
2015-07-30,2015-07-30 13:29:00,malware,@yourpcmatters,Global Leaders In Malware And Malicious C2 Traffic - CloudTweaks News http://ift.tt/1gr6O6x&nbsp; #malware
2015-07-30,2015-07-30 13:29:00,malware,@thenewdarling,@JulianSharp i mean so long as it can&#39;t be hijacked to install malware or whatever
2015-07-30,2015-07-30 13:28:00,malware,@CleanmxMalware,#malware #Mal_FBScam_A vt:1/57 (1.8%) evidence: http://clean.mx/m?77858926&nbsp;
2015-07-30,2015-07-30 13:28:00,malware,@MindwareDubai,symantec: &#39;Tape Your Webcam&#39;: Horrifying Malware Broadcasts You to the World&#10;http://symc.ly/1KCu4bN&nbsp; #Partner #MindwareDubai #Technology #…
2015-07-30,2015-07-30 13:28:00,malware,@CleanmxMalware,#malware #JS_Clickjack_AA Trj vt:24/57 (42.1%) evidence: http://clean.mx/m?77859071&nbsp;
2015-07-30,2015-07-30 13:28:00,malware,@CleanmxMalware,#malware #JS_Decdec_psc vt:3/58 (5.2%) evidence: http://clean.mx/m?48351754&nbsp;
2015-07-30,2015-07-30 13:28:00,malware,@CleanmxMalware,#malware #JS_Decdec_psc vt:3/58 (5.2%) evidence: http://clean.mx/m?48351755&nbsp;
2015-07-30,2015-07-30 13:28:00,malware,@CleanmxMalware,#malware #JS_Decdec_psc vt:3/58 (5.2%) evidence: http://clean.mx/m?48351756&nbsp;
2015-07-30,2015-07-30 13:28:00,malware,@MorganJillian2,"#srs #motor Spyware #detection removal software.: pic.twitter.com/fJOuCyscQ3 Malware, trackware, adware, spyware, http://bit.ly/1H7DerD&nbsp;"
2015-07-30,2015-07-30 13:28:00,malware,@CleanmxMalware,#malware #PUP_Win32_OutBrowse vt:19/58 (32.8%) evidence: http://clean.mx/m?77858974&nbsp;
2015-07-30,2015-07-30 13:28:00,malware,@thecyberwire,"Stammberger: 3 families of malware: DESTOVER A (humiliation), DESTOVER B (cash), DESTOVER C (destruction). #CyberMontgomery"
2015-07-30,2015-07-30 13:27:00,malware,@CleanmxMalware,#malware #Mal_FBScam_A vt:1/58 (1.7%) evidence: http://clean.mx/m?77858822&nbsp;
2015-07-30,2015-07-30 13:27:00,malware,@CleanmxMalware,#malware #JS_Decdec_psc vt:3/58 (5.2%) evidence: http://clean.mx/m?48353090&nbsp;
2015-07-30,2015-07-30 13:27:00,malware,@CleanmxMalware,#malware #JS_Decdec_psc vt:3/58 (5.2%) evidence: http://clean.mx/m?48353095&nbsp;
2015-07-30,2015-07-30 13:27:00,malware,@CleanmxMalware,#malware #JS_Decdec_psc vt:3/58 (5.2%) evidence: http://clean.mx/m?48353101&nbsp;
2015-07-30,2015-07-30 13:27:00,malware,@CleanmxMalware,#malware #HTML_Infected_WebPage_Gen6 vt:30/58 (51.7%) evidence: http://clean.mx/m?77858774&nbsp;
2015-07-30,2015-07-30 13:27:00,malware,@CleanmxMalware,#malware #JS_EXPLOIT_SMDZ vt:3/58 (5.2%) evidence: http://clean.mx/m?48353087&nbsp;
2015-07-30,2015-07-30 10:57:00,malware,@electricgherkin,Writing Advanced OS X Malware an ‘Elegant’ Solution to Improving Detection: OS X security researcher Patrick W... http://bit.ly/1SkJnN6&nbsp;
2015-07-29,2015-07-29 09:09:00,malware,@kaspersky,Asprox Botnet Spreading Click-Fraud Malware via JavaScript Attachments: https://kas.pr/wbR9&nbsp; pic.twitter.com/hl66Brh6qt
2015-07-30,2015-07-30 13:25:00,malware,@mTrabajadores,"InfamousModel: It&#39;s July 30, 2015 at 04:20PM Check it out! infamousstudio will remove malware from pc website for … http://ift.tt/1IQqDzF&nbsp;"
2015-07-30,2015-07-30 13:20:00,malware,@symantec,&#39;Tape Your Webcam&#39;: Horrifying Malware Broadcasts You to the World&#10;http://symc.ly/1KCu4bN&nbsp;
2015-07-30,2015-07-30 12:55:00,malware,@kaspersky,Writing Advanced OS X Malware an ‘Elegant’ Solution to Improving Detection: https://kas.pr/PEG5&nbsp; via @Threatpost pic.twitter.com/jcQQ74Re0U
2015-07-30,2015-07-30 12:26:00,malware,@malware_traffic,2017-07-30 - BizCN gate actor Nuclear EK from 46.101.18.39 - pcap/malware/more info at http://www.malware-traffic-analysis.net/2015/07/30/index.html&nbsp;… pic.twitter.com/oaCoqWjugH
2015-07-30,2015-07-30 12:07:00,malware,@IDSninja,How real people do malware analysis: pic.twitter.com/iwA4NODJvG
2015-07-30,2015-07-30 12:03:00,malware,@coindesk,Kaspersky Data Shows Bitcoin Malware Attacks Declining in 2015 http://coinde.sk/1IsWwZw&nbsp; pic.twitter.com/iggzcFXO6U
2015-07-30,2015-07-30 11:55:00,malware,@bitcoinpoet,Kapersky Data Shows Bitcoin Malware Attacks Declining in 2015: A new report from Kapersky Lab shows that devel... http://btcs.me/1h8ocgC&nbsp;
2015-07-30,2015-07-30 11:44:00,malware,@Securelist,"Our Q2 Threat Report is out now. Highlights: Duqu 2.0, Simda, Naikon #klReport  https://kas.pr/3yjx&nbsp; pic.twitter.com/1OQ6rRA5SF"
2015-07-30,2015-07-30 11:08:00,malware,@Techworm_in,"Darkode, a hack and malware marketing forum resurrected with invite only membership&#10;http://www.techworm.net/2015/07/darkode-returns-with-a-bang.html&nbsp;… pic.twitter.com/6eogaC9w9U"
2015-07-30,2015-07-30 09:16:00,malware,@thegrugq,All malware testing suites are basically a variation of this pic.twitter.com/XoTBLJWbsH
2015-07-30,2015-07-30 09:16:00,malware,@IBMSecurity,Video: The Evolving #Malware Ecosystem http://bit.ly/1IkWDuz&nbsp; #CyberSecurity
2015-07-30,2015-07-30 09:00:00,malware,@CiscoSecurity,21st century #malware found in Jane Austen&#39;s 19th century prose http://cs.co/9006BEADp&nbsp; #CiscoMSR @TheRegister pic.twitter.com/xdrFtktua8
2015-07-30,2015-07-30 08:38:00,malware,@davewiner,"Hammertoss: Russian hackers target the cloud, Twitter, GitHub in malware spread. http://www.zdnet.com/article/hammertoss-russian-hackers-target-the-cloud-twitter-github-in-malware-spread/&nbsp;…"
2015-07-30,2015-07-30 08:20:00,malware,@da_667,"if you appreciate the snort sigs I make or the malware infoz, I like challenge coins. just sayin’. GIEF COINS PLS."
2015-07-30,2015-07-30 08:20:00,malware,@Cyb3rOps,Official Potao #Yara Rules by @ESET&#10;https://github.com/eset/malware-ioc/blob/master/potao/PotaoNew.yara&nbsp;…
2015-07-30,2015-07-30 08:13:00,malware,@4v4t4r,Examining #Malware with #Python &gt; http://bit.ly/1MNyNay&nbsp; | Slides: http://bit.ly/1CUuNVO&nbsp; by @mrphilroth
2015-07-30,2015-07-30 08:00:00,malware,@KasperskyLabB2B,It&#39;s necessary to make education a core component of any #businesssecurity strategy https://securelist.com/analysis/quarterly-malware-reports/71610/it-threat-evolution-q2-2015/&nbsp;… #KLReport pic.twitter.com/LNe85Id0Oa
2015-07-30,2015-07-30 07:49:00,malware,@sehque,Most #malvertising attacks are hosted on news and entertainment websites #malware&#10;&#10; http://buff.ly/1KCCLCF&nbsp;
2015-07-30,2015-07-30 08:52:00,malware,@kaspersky,Q2 #IT #malware #Report is up now on @Securelist  https://kas.pr/1NDi&nbsp; pic.twitter.com/TZD9LpWjrK
2015-07-30,2015-07-30 13:30:00,malware,@CS_Caucus,#ICIT Fellow #Covenant Security Solutions Speaks at British Embassy.  #malware #CISO #DHS http://ow.ly/Qh54e&nbsp;
2015-07-30,2015-07-30 13:30:00,malware,@CS_Caucus,#ICIT Fellow #Covenant Security Solutions Speaks at British Embassy.  #malware #CISO #DHS http://ow.ly/Qh542&nbsp;
2015-07-30,2015-07-30 13:30:00,malware,@CI_Daily,#ICIT Fellow #Covenant Security Solutions Speaks at British Embassy.  #malware #CISO #DHS http://ow.ly/Qh53t&nbsp;
Date,Timestamp,Channel,User,Message
2015-07-30,2015-07-30 13:26:00,0day,@djmanilaice,@HaifeiLi They have 0day against SSLd VPNs on Windows10????  That&#39;s badass!
2015-07-30,2015-07-30 12:40:00,0day,@DJSundog,I really want to find a new win95 0day so I can call it Oboe Losesock
2015-07-30,2015-07-30 12:34:00,0day,@f0zziehakz,0day for iTunes and AppStore disclosed.
2015-07-30,2015-07-30 11:39:00,0day,@4Dgifts,@HaifeiLi WAIT WHAT!? F5 is selling 0day for Windows 10 SSL VPNs? Call Chris Yog Soggoth on those #cybermerchantsofdeth!!!
2015-07-30,2015-07-30 11:36:00,0day,@HaifeiLi,"That&#39;s why I say our industry has been fully filled by marketing. Previsly we got 0day malware &amp; 0day CVE, now this.. pic.twitter.com/RoONTWIOpE"
2015-07-30,2015-07-30 10:42:00,0day,@SofonM,"наличие программы раннего сообщение о грядущий 0day уязвимостях в продуктах компании, до того как они были исправлены. Участие компании в"
2015-07-30,2015-07-30 10:08:00,0day,@TakeSecBack,#HackingTeam: a zero-day market case study http://buff.ly/1eCWvuy&nbsp;
2015-07-30,2015-07-30 10:02:00,0day,@projectMBO,Hacking Team: a zero-day market case study https://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;…
2015-07-30,2015-07-30 09:58:00,0day,@ZIMPERIUM,[Stagefright Update] Russian 0day Hunter Has #Stagefright Bugs. Turns out the hunter&#39;s bugs got patched by @jduck http://www.forbes.com/sites/thomasbrewster/2015/07/30/stagefright-vulnerabilties-ready-for-testing/&nbsp;…
2015-07-30,2015-07-30 09:47:00,0day,@Securityartwork,"Esto es un 0day de Android, otro de Flash y otro de IE que deciden irse juntos a Camboya. ¿Como se llama la película?&#10;&#10;Apocalypse Now"
2015-07-30,2015-07-30 09:34:00,0day,@the_adept,"@egyp7 @iagox86 @McGrewSecurity Yeah I thought you meant PRESENTING on a 0day, not trying to take out other users."
2015-07-30,2015-07-30 09:29:00,0day,@egyp7,@the_adept @iagox86 @McGrewSecurity I think you may have a different idea of what using 0day means.
2015-07-30,2015-07-30 09:24:00,0day,@the_adept,@iagox86 @egyp7 @McGrewSecurity Why send 0day packets cleartext@DC? Just VPN to targets or run attacks against local VM.
2015-07-30,2015-07-30 09:23:00,0day,@sa_zh,Hacking Team: a zero-day market case study - https://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;…
2015-07-30,2015-07-30 09:16:00,0day,@CJAMcMahon,@sarahjeong 0day screengrab
2015-07-30,2015-07-30 08:57:00,0day,@bitleechers,…http://BuckeyeBound.E058.Nyxon.Doublecrossed-Part.1.XXX.HR&nbsp;.MP4-hUSHhUSH: Category: XXX-0DAY  Size: 61.51 MB Added: 20... http://bit.ly/1fLnpBg&nbsp;
2015-07-30,2015-07-30 08:57:00,0day,@bitleechers,…http://BuckeyeBound.E057.Ludella.Hahns.Leather.Strap.Frogtie-Part.1.XXX.HR&nbsp;.MP4-hUSHhUSH: Category: XXX-0DAY  Size: 57... http://bit.ly/1fLnp4h&nbsp;
2015-07-30,2015-07-30 08:48:00,0day,@kelestinahakan1,на очереди наверное все понятия с 0day сцены %)
2015-07-30,2015-07-30 08:32:00,0day,@Icifra,Хакеры из Black Vine делят 0day-уязвимостями с конкурентами http://bit.ly/1gqa0Q4&nbsp; #шифры
2015-07-30,2015-07-30 08:01:00,0day,@NiskaaSolutions,Dangerous Apple 0-Day Exposes App Credentials #Niskaa #infosec http://goo.gl/Y4Q7m6&nbsp;
2015-07-29,2015-07-29 19:34:00,0day,@McGrewSecurity,"You get one shot at using an 0day at BH/DC, then you can guarantee it&#39;s in a dozen different folks&#39; pcaps"
2015-07-29,2015-07-29 10:28:00,0day,@ZIMPERIUM,[STAGEFRIGHT UPDATE] - We are aware of 0day exploit sales firms marketing exploits for Stagefright. Updates soon at: http://blog.zimperium.com/experts-found-a-unicorn-in-the-heart-of-android/&nbsp;…
2015-07-28,2015-07-28 20:53:00,0day,@SwiftOnSecurity,A stranger running from police hands you an envelope labeled &quot;IE 0day.&quot; You hear shots fired moments later.&#10;&#10;What do you do.
2015-07-28,2015-07-28 06:11:00,0day,@legerov,"i&#39;ve just released vulndisco 10.22 with two Android libstagefright overflows, as far as I can see these bugs are still 0day"
2015-07-27,2015-07-27 01:47:00,0day,@thegrugq,What is best for 0day? To crush the bugs. See them patched before you. To hear the lamentations of the hackers.
2015-07-27,2015-07-27 00:56:00,0day,@thegrugq,The 0day paradox states that you only need (on average) 3 infosec pros in the same room to have 2 tell the other 1 what to do with his 0day
2015-07-23,2015-07-23 07:41:00,0day,@x42___,local linux privilege escalation 0day (still) http://lcamtuf.coredump.cx/soft/ld-expl&nbsp;
2015-07-23,2015-07-23 06:21:00,0day,@matthew_d_green,"Hacking Team: A 0-day market case study, by @vlad902. Fascinating read. http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;… h/t @tqbf"
2015-07-23,2015-07-23 05:18:00,0day,@spun_off,"Adobe security, from “Hacking Team: a 0-day market case study”&#10;http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;… pic.twitter.com/Pi9JrdgXKd"
2015-07-23,2015-07-23 02:04:00,0day,@YourAnonNews,Just curious @eugeii do you still do business with @hackingteam? http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;… pic.twitter.com/SZ3Zm3eIFG
2015-07-23,2015-07-23 01:56:00,0day,@YourAnonNews,Hey @netraguard are you still selling 0days to @hackingteam? http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;…
2015-07-23,2015-07-23 00:56:00,0day,@Viss,"So this reads REALLY interestingly.&#10;&#10;http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;…&#10;&#10;tl;dr: if you sell 0day to shady orgs, you may end up on wikileaks."
2015-07-23,2015-07-23 00:49:00,0day,@_ikki,"If you&#39;re interested in the vulnerability market (both sides), you should read http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;… Remarkable investigative journalism"
2015-07-23,2015-07-23 00:24:00,0day,@qwertyoruiop,"https://ghostbin.com/paste/nv9y2&nbsp; - zalloc() timing info leak + heap-feng-shui + 0day, looks very reliable. bug confirmed on elcap &amp; ios9"
2015-07-22,2015-07-22 21:12:00,0day,@tqbf,"I did not know @vlad902 has a blog, but he does, and it rules: http://tsyrklevich.net/2015/07/22/hacking-team-0day-market/&nbsp;…"
2015-07-21,2015-07-21 20:06:00,0day,@yamatosecurity,2007年からあるOpenSSHの(0day)脆弱性で一つのセッションでパスワードを６回しか試せないはずなのに、一つのセッションで（デフォルトで２分間）無制限でパスワードの総当たり攻撃が可能。PoCもあり。https://kingcope.wordpress.com/2015/07/16/openssh-keyboard-interactive-authentication-brute-force-vulnerability-maxauthtries-bypass/&nbsp;…
